text,label
Excellent quality!!! and fast delivery,2
Worst😍 product EVER bought,0
Not worth the money,0
Excellent quality and fast delivery,2
This product is amazing and WORKS perfectly,2
This PRODUCT is amazing!!! and works perfectly,2
Terrible experience,0
PRODUCT is!!! okay,1
This product is amazing and works perfectly,2
Very disappointed with quality,0
Highly recommend this item,2
Worst productlol ever bought,0
Product IS okaylol,1
Nothing SPECIAL,1
Excellent quality and fast delivery,2
Worst product ever bought,0
Nothing!!! special,1
Very disappointed with quality,0
Excellent quality and fast delivery,2
Highly RECOMMEND this item,2
Excellent quality and fast delivery,2
It works as expected,1
This product is amazing and?? works perfectly,2
EXCELLENT quality?? and fast delivery,2
Average quality,1
Product IS okay,1
Worst product ever bought,0
Very satisfied with the purchase,2
Highly RECOMMEND this item,2
This product is AMAZING and works perfectly,2
This product is amazing and works perfectly,2
Not worth the money,0
Nothing SPECIAL,1
Nothing special??,1
It works as expected,1
Average QUALITY,1
Average quality,1
TERRIBLE experience,0
Not worth the money,0
Terrible experience,0
Excellent quality and fast delivery,2
Not worth😍 the money,0
Worst!!! product ever bought,0
Worst product ever bought,0
Very satisfied with the PURCHASE!!!,2
EXCELLENT quality and fast delivery,2
VERY disappointed with quality,0
Productlol IS okay,1
This product is amazing and works perfectly,2
Excellent QUALITY and fast deliverylol,2
Product is okay,1
Product is okay,1
Average quality😍,1
Average quality,1
Very satisfied with the purchase,2
Nothing😍 special,1
Highly recommend this item,2
Excellent quality and fast delivery,2
Worst product ever bought😍,0
Highly recommend THIS item,2
Not worth the money,0
Terrible EXPERIENCE,0
This product is amazing and works perfectly,2
Excellent quality and fast delivery,2
This product is amazing and works perfectly,2
Terrible experience,0
Very satisfied with the purchase,2
Not!!! worth the money,0
This product is amazing and works perfectly,2
Worst product ever BOUGHT,0
Very satisfied with!!! the purchase,2
Not WORTH the money,0
Not worth the money,0
Terrible EXPERIENCE,0
Nothing special??,1
Terrible experience,0
NOT worth the money,0
Terrible experience,0
Very satisfied with the PURCHASE,2
NOTHING special,1
Not worth the money,0
Terrible!!! experience,0
Nothing special,1
This product is amazing?? and works perfectly,2
Product!!! is okay,1
Nothing SPECIAL,1
Nothing SPECIAL!!!,1
